S. No.,INSTITUTE NAME,INSTITUTE TYPE,FW,BRANCH,NATIONALPLAYER,OPENING JEE COMMON RANK,CLOSING JEE COMMON RANK,ALLOTTED CATEGORY,DOMICILE,TOTAL ALLOTTED
1037,"Oriental College of Technology, Bhopal (2002)",private,Y,CSEDS,,478631,510247,FW/OP,,6
1038,"Oriental College of Technology, Bhopal (2002)",private,N,CSEDS,,521484,1410948,UR/X/OP,,15
1039,"Oriental College of Technology, Bhopal (2002)",private,N,CSEIML,,783947,1464935,EWS,,5
1040,"Oriental College of Technology, Bhopal (2002)",private,Y,CSEIML,,249975,462994,FW/OP,,9
1041,"Oriental College of Technology, Bhopal (2002)",private,N,CSEIML,,276189,1450331,UR/X/OP,,97
1042,"Oriental College of Technology, Bhopal (2002)",private,N,EC,,1063708,1063708,EWS,,1
1043,"Oriental College of Technology, Bhopal (2002)",private,Y,EC,,490976,737769,FW/OP,,3
1044,"Oriental College of Technology, Bhopal (2002)",private,N,EC,,507809,1470864,UR/X/OP,,6
1045,"Oriental College of Technology, Bhopal (2002)",private,N,ELECT ELEX,,1404545,1404545,UR/X/OP,,1
1046,"Oriental College of Technology, Bhopal (2002)",private,N,MECH,,798608,1447309,UR/X/OP,,5
1047,"Oriental Institute of Science & Technology, Bhopal (1995)",private,N,CE,,1266578,1266578,EWS,,1
1048,"Oriental Institute of Science & Technology, Bhopal (1995)",private,Y,CE,,590517,945372,FW/OP,,3
1049,"Oriental Institute of Science & Technology, Bhopal (1995)",private,N,CE,,218984,1451759,UR/X/OP,,9
1050,"Oriental Institute of Science & Technology, Bhopal (1995)",private,N,CSE,,280444,783814,EWS,,45
1051,"Oriental Institute of Science & Technology, Bhopal (1995)",private,Y,CSE,,152959,282822,FW/OP,,18
1052,"Oriental Institute of Science & Technology, Bhopal (1995)",private,N,CSE,,623216,1455661,OBC/X/OP,,169
1053,"Oriental Institute of Science & Technology, Bhopal (1995)",private,N,CSE,,705152,1267473,SC/X/OP,,4
1054,"Oriental Institute of Science & Technology, Bhopal (1995)",private,N,CSE,,153002,621239,UR/X/OP,,196
1055,"Oriental Institute of Science & Technology, Bhopal (1995)",private,N,CSEDS,,819203,1432929,EWS,,16
